param r0 = 3;
 param n = 5;
 
 param cap = 50;
 
 param D:
       1     2     3    4    5     :=
 1    0    50    20   11   24  
 2    17    0     3    21    27
 3    1     8     0    31    32 
 4    6     8     3     0    9
 5    15   18    19     5    0;
 
 param e:=
 1  1
 2  2
 3  3;

 param f:=
 1 3
 2 4
 3 5;
 
 param l:
     1   2     3    4     5      :=
 1   99999   1.6  3.8   5.6  4.9 
 2  1.6  99999    99   9.1  6.3  
 3  3.8  4.8    99999   2.1  9.0
 4  5.6  9.1  2.1    99999   12.3 
 5  4.9  6.3  9.0   12.3  99999;
  

              
 param Ca:
    1   2     3    4     5      :=
 1   0   4.6  3.8   5.6  4.9 
 2  4.6  0    4.8   9.1  6.3  
 3  3.8  4.8    0   2.1  9.0
 4  5.6  9.1  2.1    0   12.3 
 5  4.9  6.3  9.0   12.3  0;   

 param trmax = 10;
 param M = 100000;
